Campaign,Country,Main Heading,Sub-Heading,Code,Zakat Eligibilty
Support The Water & Infrastructure Fund,"Syria, Afghanistan, Gaza",Infrastructure,General Infrastructure,INF-MTC,Non-Zakat
Barking Community Support - Rethink Charity.,UK,Food Bank,Food,FBK-GBR,Zakat
STEM SCHOOL,Syria,Village Project,Village School,VIL-SYR-SCH,Non-Zakat
RISE OF THE ASHBAL: MASJID & SCHOOL PROJECT,Afghanistan,One-Off Projects,Madrasa,ONE-AFG-MAD,Non-Zakat
ZAKAT DIRECT,"Syria, Afghanistan, Gaza",Zakat Direct,Zakat Direct,ZKT-MTC,Zakat
BEYOND SURVIVAL,"Syria, Afghanistan, Gaza",General Fund,Most Needed / Flexible Allocation,MST-ALL,Zakat
SUDAN & GAZA,"Sudan, Gaza",Emergency Aid, Emergency Aid,EMR-MTC,Zakat
MASJID SHARE,Global,Masjid General,Masjid General,MAS-SYR,Non-Zakat
ORPHAN SPONSORSHIP,"Syria, Afghanistan, Gaza",Sponsorships,Orphan Sponsorship,SPN-MTC-ORP,Zakat
DENTAL PROJECT,Syria,One-Off Projects,Dentist Scholarship,ONE-TBC-DEN,TBC
FIDYA,Global,Seasonal & Annual Campaigns,Fidya,SEA-ALL-FID,Non-Zakat
GAZA MEDICAL STUDENTS PROJECT,Gaza,One-Off Projects,Gaza Doctors,ONE-GAZ-DOC,Non-Zakat
THE QURAN PROJECT,Worldwide,Quran Distribution,Quran Distribution,QRN-MTC,Non-Zakat
Help UmmÂ Muhammad Rebuild Gaza & Shaam,"Syria,Gaza",General Fund,Most Needed,MST-ALL,Zakat
Eid Outfits for Children in Gaza,Palestine,Seasonal & Annual Campaigns,Eid Party,SEA-GAZ-EID,To be confirmed
ORPHAN FUND,Syria,Sponsorships,Orphan Sponsorship,SPN-MTC-ORP,Zakat
ORPHAN FUND,Syria,Sponsorships,Orphan Sponsorship,SPN-MTC-ORP,Zakat
Scafell Pike for Syria 2026,"Syria, Afghanistan, Gaza",General Fund,Most Needed,MST-ALL,Zakat
OXPAL,Palestine,One-Off Projects,Gaza Doctors,ONE-GAZ-DOC,Non-Zakat
QURBANI 2026,"Afghanistan, Syria, Sudan, Yemen",Seasonal & Annual Campaigns,Qurbani,SEA-ALL-QUR,Zakat
HAFIZ SPONSORSHIPS,Syria,Sponsorships,Huffaz Sponsorships,SPN-MTC-HUF,TBC
DHUL HIJJAH 2026,"Syria, Afghanistan, Gaza",Seasonal & Annual Campaigns,Diversify Your Donation,SEA-MTC-DIV,Non-Zakat
Ikhwa ilford - Project 50 Widows,Afghanistan,Sponsorships,Widow Sponsorship,SPN-AFG-WID,Zakat
ARABIC GEMS,"Syria, Afghanistan, Gaza",General Fund,Most Needed,MST-ALL,Zakat
"Seven Sisters Hike: Seven Peaks, Ten Causes.","Syria, Afghanistan, Gaza",General Fund,Most Needed,MST-ALL,Zakat
Orphan Sponsorship,"Syria, Afghanistan, Gaza",Sponsorships,Orphan Sponsorship,SPN-MTC-ORP,Zakat
Iftaar Campaign,"Syria, Afghanistan, Gaza",Seasonal & Annual Campaigns,Iftar,SEA-ALL-IFT,Zakat
Orphan and Widows Sponsorship,"Syria, Afghanistan, Gaza", Sponsorships,"Orphan Sponsorship, Widow Sponsorship",SPN-MTC-ORP + SPN-MTC-WID,Zakat
Hafiz Sponsorship,Syria,Sponsorships,Huffaz Sponsorships,SPN-MTC-HUF,TBC
Family Sponsorships,"Syria, Afghanistan",Sponsorships,Widow Sponsorship,SPN-MTC-WID,Zakat
Qurbani Appeal,Syria,Seasonal & Annual Campaigns,Qurbani,SEA-SYR-QUR,Zakat
Lulu wal Marjaan Nursery,Syria,Village Project,Village School,VIL-SYR-SCH,Non-Zakat
Most Needy Appeal,Syria,General Fund,Most Needed / Flexible Allocation,MST-ALL,Zakat
Masjid Pot,Syria,Masjid General,Masjid General,MAS-SYR,Non-Zakat
Hygiene Kits Project,Syria,Emergency Aid,Emergency Aid,EMR-SYR,Zakat
Childrens Clothes,Syria,Emergency Aid,Emergency Aid,EMR-SYR,Zakat
MOROCCO EARTHQUAKE APPEAL,Morocco,Emergency Aid,Emergency Aid,EMR-MRC,Zakat
Masjid in the land of Shaam,Syria,Masjid General,Masjid General,MAS-SYR,Non-Zakat
Most Needy,Syria,General Fund,Most Needed / Flexible Allocation,MST-SYR,Zakat
Widows Sponsorship,"Syria,Afghanistan",Sponsorships, Widow Sponsorship, SPN-MTC-WID,Zakat
Survivors Sponsorship,"Syria,Afghanistan",Sponsorships,Survivors / Ex-Prisoners, SPN-SYR-SUR,
Hafiz Sponsorship,Syria,Sponsorships,Huffaz Sponsorships,SPN-MTC-HUF,Zakat
Ultimate Sponsorships,"Syria, Afghanistan, Gaza",Sponsorships,,SPN,Zakat
n/a,#N/A,,,,
Container Appeal 2024,Syria,Emergency Aid,,EMR-SYR,Zakat
Help Dawud rebuild Gaza & Syria,"Syria,Palestine",General Fund, Most Needed / Flexible Allocation,MST-ALL,Zakat
Help Emaan Rebuild Gaza & Shaam,"Syria,Palestine",General Fund, Most Needed / Flexible Allocation,MST-ALL,Zakat
Help Safiyah Rebuild Gaza & Shaam,"Syria,Palestine",General Fund, Most Needed / Flexible Allocation,MST-ALL,Zakat
Help Zaynah Rebuild Gaza & Shaam,"Syria,Palestine",General Fund, Most Needed / Flexible Allocation,MST-ALL,Zakat
Help Faiyza Rebuild Gaza & Shaam,"Syria,Palestine",General Fund, Most Needed / Flexible Allocation,MST-ALL,Zakat
