Campaign Name,Community Name,Heading,Sub-Heading,Country,Code,Zakat Eligibility
Purley foodbank,Rethink Charity,Food Bank,Unassigned,United Kingdom,FBK-GBR,Non-Zakat
RAMADAN 2024 IFTAR4SHAAM CHALLENGE,RAMADAN 2024 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,General / Multi-Country,SEA-ALL-IFT,Zakat
UMM ABDULLAH'S CAMPAIGN IFTAR 4 SHAAM,RAMADAN 2024 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,Syria,SEA-SYR-IFT,Zakat
Ramadan 2024: Rethink Village,Ramadan 2024: Rethink Village,Village Project,Village Houses,Syria,VIL-SYR-HOU,Zakat
Umm Hifzudeen's Syrian & Gazan Challenge,Syrian & Gazan Challenge,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Feed Syrian & Gazan Families,Syrian & Gazan Challenge,Food,Unassigned,"Syria,Gaza",FOD-MTC,Zakat
Seeds of Gaza Team Iftar 4 Shaam,RAMADAN 2024 IFTAR4SHAAM CHALLENGE,Seasonal & Annual Campaigns,Iftar,Syria,SEA-SYR-IFT,Zakat
Team North London,Team North London,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Team East London,Team East London,Seasonal & Annual Campaigns,Iftar,"Syria,Gaza",SEA-ALL-IFT,Zakat
Team West London,Team West London,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Team South London,Team South London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Team West Midlands,Team West Midlands,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
TeamLeicester,Team Leicester,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Team Yorkshire,Team Yorkshire,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Team North,Team North,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Sisters' Project Team,Sisters'Â ProjectÂ Team,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
